SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.498451446,41,0,0.320901499,8740.0,13,0,2,0,1.0
0,0.302452782,57,0,0.322473994,12400.0,6,0,2,0,0.0
1,0.11996266800000001,62,0,1.006767149,3250.0,6,0,3,0,0.0
1,0.364390379,49,0,0.88968073,7015.0,10,0,6,0,0.0
1,1.018159806,58,0,0.18688713699999998,5200.0,9,1,0,0,0.0
1,0.06782785,52,0,0.269722814,1875.0,5,0,2,0,0.0
0,0.023567677999999998,73,0,0.128961531,10033.0,20,0,1,0,0.0
0,0.182204687,40,0,0.21938326,6809.0,5,0,1,0,3.0
0,0.09124449800000001,32,0,0.366526695,5000.0,6,0,1,0,0.0
0,0.077784936,52,0,0.684993084,5783.0,11,0,5,0,0.0
1,0.9999998999999999,39,1,0.20853565,3912.0,3,1,0,0,2.0
1,0.931943854,57,1,0.097242686,4750.0,8,2,0,1,0.0
1,0.187146271,36,3,2.552086868,2946.0,7,0,3,0,1.0
0,0.018235742,70,0,0.346650384,5731.0,18,0,2,0,0.0
0,0.0,73,0,0.0,2500.0,4,0,0,0,0.0
0,0.050715215,54,0,0.011203015,9550.0,5,0,0,0,3.0
0,0.0,45,0,0.579136691,3613.0,8,0,1,0,0.0
1,0.9999998999999999,51,4,0.363837068,9058.0,5,2,1,1,2.0
1,0.8858327979999999,38,0,1.391217565,500.0,9,0,0,0,2.0
0,0.093584581,64,0,0.681263747,5000.0,18,0,2,0,2.0
0,0.269328057,62,0,0.853654512,6060.0,22,0,3,0,1.0
0,0.50631517,75,0,0.46070536,3600.0,7,0,1,0,0.0
0,0.203477713,54,0,0.724879187,6000.0,22,0,2,0,2.0
1,0.0,37,1,0.20992761100000001,2900.0,8,1,0,0,0.0
0,0.050464985,67,0,0.318025617,3200.0,2,0,1,0,0.0
0,0.132567985,74,0,0.178705324,4000.0,4,0,0,0,0.0
0,0.510344068,48,0,0.483667144,8387.0,12,0,2,0,6.0
1,0.804398534,65,0,0.292165772,7262.0,7,1,1,0,0.0
1,0.9734219270000001,38,0,0.175682301,6118.0,3,1,1,1,3.0
1,0.275816123,37,1,0.131420639,2160.0,5,0,0,0,4.0
0,0.8679382999999999,54,1,0.199809342,5244.0,3,0,0,0,0.0
0,0.703816909,31,0,0.553445337,8213.0,12,0,2,0,1.0
0,0.37087342,66,0,0.11306702800000001,1476.0,3,0,0,0,0.0
1,1.100316356,66,1,3.50329934,1666.0,12,0,0,0,1.0
1,0.984000696,43,2,0.782817997,5400.0,8,1,2,0,2.0
1,1.1960049940000002,33,0,0.078517865,6800.0,5,1,0,0,4.0
0,0.34212433,69,0,0.398920216,5000.0,8,0,0,0,0.0
0,0.05411770900000001,58,0,0.117811816,11424.0,6,0,1,0,0.0
1,0.193544225,27,0,0.23247559899999998,2253.0,10,0,0,0,0.0
1,0.245727556,84,0,0.22092635800000002,3000.0,8,0,0,0,1.0
0,0.14127417,51,0,0.330279732,6112.0,10,0,2,0,0.0
0,0.0,58,0,0.562772709,10083.0,13,0,5,0,0.0
0,0.027031839,86,0,0.002475955,10500.0,8,0,0,0,0.0
1,0.017757855,68,0,0.156605641,4041.0,8,1,0,0,0.0
0,0.130930754,42,0,0.112808904,5300.0,8,0,0,0,1.0
0,0.34508373299999995,58,0,0.954176213,4800.0,18,0,2,0,2.0
1,1.1921014140000001,48,2,0.9412235109999999,2500.0,13,1,1,0,2.0
1,0.421942327,44,1,0.369968717,4794.0,7,1,1,1,1.0
1,0.6051206929999999,33,0,0.720473899,2700.0,3,0,1,0,0.0
1,1.168010319,33,4,0.22697187,3625.0,10,1,0,0,0.0
1,0.9999998999999999,47,0,0.64928292,2300.0,5,0,1,1,0.0
1,1.0643895909999999,38,5,0.545038486,4806.0,11,0,2,0,0.0
0,0.41102465299999996,29,2,0.26279457300000003,4200.0,12,0,0,0,0.0
1,0.998527246,34,0,0.7758366659999999,4750.0,11,0,2,0,0.0
1,1.3732534930000002,52,1,0.23398328699999998,4666.0,3,2,1,0,0.0
1,1.115512773,25,2,0.426594927,1300.0,5,3,0,1,0.0
1,1.743493131,54,0,0.984471558,6310.0,15,0,3,0,1.0
0,0.302072845,45,0,0.472505499,5000.0,5,0,1,0,0.0
1,0.7810206140000001,58,5,1.4450307830000002,1136.0,5,0,1,2,3.0
1,0.957274913,36,1,0.319615263,6341.0,8,0,1,0,1.0
1,0.016765601,46,0,0.664957966,4876.0,6,0,2,0,0.0
1,0.305976358,69,2,0.569913773,8581.0,15,0,1,0,0.0
1,0.9999998999999999,35,0,0.065366829,8000.0,3,0,0,1,5.0
1,2.079734219,28,0,0.364392679,3004.0,1,3,1,0,0.0
1,0.874364775,40,0,0.34572248299999997,7667.0,6,0,1,0,2.0
1,0.9999998999999999,42,0,1.766860949,1200.0,2,0,1,0,2.0
1,0.9999998999999999,66,0,0.193286166,6642.0,3,0,1,0,0.0
1,0.599618425,38,1,0.18576284699999998,5000.0,10,0,0,1,1.0
1,1.0924672979999999,44,3,0.300569143,6500.0,40,0,0,0,1.0
0,0.120516499,60,0,0.269146171,5000.0,4,0,1,0,0.0
1,1.127602556,58,4,0.123418216,6400.0,6,0,0,1,0.0
1,0.534057309,35,1,1.200228506,3500.0,22,0,2,0,0.0
0,0.809960005,61,0,0.38137408899999997,7000.0,7,0,2,0,1.0
0,0.012489367,35,1,0.075066276,7166.0,9,0,0,0,0.0
0,0.210731108,58,0,1.021995601,5000.0,14,0,3,0,1.0
1,0.0,31,0,0.7309454390000001,2400.0,8,0,1,0,0.0
0,0.00045744800000000006,64,0,0.266348888,11957.0,21,0,2,0,0.0
0,0.9820559940000001,52,0,0.340949555,3369.0,8,0,0,0,1.0
1,0.0,54,0,0.378419891,10416.0,11,0,2,0,2.0
1,0.450215565,67,0,0.698281299,12683.0,30,0,8,0,0.0
1,0.9260739259999999,64,3,0.638141809,4089.0,5,1,1,1,0.0
1,0.530995867,65,0,0.089475989,6850.0,3,0,0,0,0.0
1,0.9999998999999999,35,2,0.637526157,4300.0,5,3,1,1,1.0
1,0.40483058299999997,38,0,0.330815374,4500.0,16,0,0,0,2.0
0,0.229411945,38,0,0.31146597600000003,6950.0,11,0,1,0,0.0
1,0.7864854059999999,44,0,0.291709578,3883.0,7,2,0,2,1.0
0,0.445895919,72,0,0.147760646,5447.0,8,0,0,0,1.0
1,0.35552064,33,0,0.7909491390000001,2496.0,5,3,0,0,0.0
1,1.189054726,28,0,0.075305728,4660.0,2,2,0,0,2.0
0,0.004532185,43,0,0.413488874,10200.0,9,0,2,0,2.0
1,0.19602016600000002,38,0,0.508865485,7500.0,10,0,2,0,0.0
0,0.080539542,53,0,0.201777531,7200.0,12,0,0,0,3.0
0,0.032755235,79,1,0.31884058,4001.0,10,0,2,0,0.0
0,0.55895704,60,0,0.14145528599999999,5400.0,2,0,0,0,0.0
0,0.556425697,37,3,0.14956256099999998,7200.0,8,1,0,1,4.0
1,0.886037827,42,4,0.952783789,5082.0,7,0,1,1,3.0
0,0.050765326,79,0,0.385556068,4333.0,4,0,1,0,0.0
0,0.43957609299999995,38,0,1.83948373,5500.0,15,0,6,0,1.0
0,0.048697425,56,0,0.14377474,13388.0,6,0,2,0,2.0
1,0.20842108,46,2,0.39548984200000004,9400.0,12,0,3,0,1.0
0,0.054137184000000005,50,0,0.484160191,6691.0,16,0,3,0,2.0
1,0.9999998999999999,31,0,0.084741728,4200.0,5,0,0,0,0.0
0,3.32e-05,70,0,0.19349962199999998,2645.0,11,0,0,0,0.0
0,0.376321029,60,0,0.508070344,4150.0,10,0,1,0,0.0
0,0.102796834,62,0,0.482103579,5000.0,10,0,2,0,0.0
1,0.8204891559999999,26,0,0.475381155,4000.0,8,0,1,0,0.0
0,0.523786437,38,0,0.082992455,11000.0,10,1,0,0,3.0
1,1.002285388,35,3,0.322116162,6180.0,11,0,0,0,1.0
0,0.554942194,47,0,0.875380426,6242.0,5,0,1,0,0.0
1,0.239849079,41,1,0.860609293,15000.0,23,0,12,0,3.0
1,0.9999998999999999,30,98,0.0,2200.0,0,98,0,98,0.0
1,0.161939322,43,0,0.42933718200000004,9700.0,14,0,2,0,0.0
1,1.323274236,41,1,0.329169269,1600.0,8,0,0,2,2.0
0,0.0,31,0,0.651269036,3939.0,8,0,2,0,1.0
1,0.97420187,37,2,0.124652816,9000.0,8,2,1,2,2.0
1,0.7750314490000001,43,1,7.822870852,2500.0,26,0,7,0,0.0
1,0.9999998999999999,47,1,0.08251601900000001,7646.0,1,0,0,0,0.0
1,0.9999998999999999,37,98,0.00757815,3166.0,0,98,0,98,0.0
1,0.9999998999999999,39,0,0.282034771,1552.0,1,1,0,0,1.0
0,0.022176364,41,0,0.007834496,8168.0,10,0,0,0,2.0
0,0.263222165,75,2,0.31631281899999997,3720.0,16,0,1,0,0.0
0,0.021969582999999997,56,0,0.339800118,1700.0,13,0,1,0,0.0
0,0.9999998999999999,62,0,0.12683513800000001,4154.0,3,0,0,0,1.0
0,0.085765385,64,0,0.31147541,2500.0,6,0,0,0,0.0
0,0.125493725,65,0,0.22191055,6416.0,2,0,1,0,0.0
0,0.38758871799999994,48,1,0.296555009,6298.0,10,0,1,0,2.0
0,0.9251852190000001,49,2,0.427961094,11000.0,5,0,1,0,1.0
0,0.09031939300000001,49,0,0.41558921299999996,8120.0,22,0,2,0,0.0
0,0.020726695,61,0,0.7451334540000001,4982.0,17,0,3,0,1.0
1,0.547351615,58,1,0.5064384679999999,6134.0,12,1,1,0,1.0
1,0.228858908,76,0,0.509541082,6340.0,14,0,6,0,0.0
1,0.9999998999999999,42,1,0.250863295,4922.0,4,0,1,0,4.0
0,0.020353371000000002,77,0,0.214702824,12500.0,12,0,3,0,0.0
1,0.958027981,29,3,0.26691103,3000.0,8,0,0,2,0.0
1,0.916074717,33,1,0.143781241,3400.0,5,9,0,0,1.0
1,0.9999998999999999,27,0,0.279125567,3750.0,4,1,0,0,0.0
0,0.048238082,65,0,0.012997401,5000.0,7,0,0,0,0.0
1,0.129144301,52,0,0.35316171,4000.0,7,0,1,0,0.0
1,0.0,26,2,0.0,4000.0,1,0,0,0,0.0
1,0.32554885699999997,49,0,0.480425979,6666.0,9,0,2,0,0.0
1,0.673251163,27,0,0.26785353,4942.0,9,0,1,0,0.0
0,0.043273614,60,0,0.25809121,10875.0,12,0,1,0,1.0
0,0.9999998999999999,66,3,0.477910351,3100.0,6,0,1,0,1.0
0,0.25611333,59,0,0.625976054,3841.0,6,0,2,0,0.0
0,0.105826487,65,0,0.302819779,2446.0,12,0,1,0,0.0
1,0.8829352840000001,42,0,0.780654162,6450.0,12,0,2,0,0.0
0,0.060385534000000005,49,1,0.222237035,7500.0,8,0,1,0,2.0
1,0.604042114,58,0,0.278831169,7699.0,10,0,2,0,0.0
1,1.061938062,33,0,0.7672465509999999,5000.0,7,2,1,0,0.0
0,0.6517348270000001,57,1,0.03344251,5800.0,8,0,0,0,2.0
1,0.8634081020000001,52,3,0.48750405700000005,3080.0,9,1,1,2,1.0
0,0.0,41,0,274.0,1.0,2,0,0,0,2.0
0,0.015566148,68,0,0.172158365,3914.0,6,0,0,0,0.0
1,1.680213191,34,2,0.818394845,1706.0,5,2,1,1,4.0
0,0.39559625600000003,52,0,0.588835659,4800.0,9,0,2,0,1.0
1,0.69151671,71,1,0.568520538,2750.0,4,0,0,0,0.0
1,0.31168831199999997,58,0,0.366181535,9000.0,5,0,2,0,2.0
1,0.889851691,38,1,0.450670876,3800.0,8,0,2,0,1.0
0,0.279830594,55,0,0.170589724,3950.0,6,0,1,0,0.0
0,0.421951717,59,0,0.6770038979999999,5900.0,17,0,1,0,0.0
1,0.703227987,36,1,0.40161667700000003,4700.0,7,0,1,0,3.0
1,0.9714006829999999,45,3,0.747402078,1250.0,15,0,1,0,0.0
0,0.061287764,60,0,0.385237465,6800.0,16,0,1,0,0.0
0,0.144013912,31,0,0.407592564,6400.0,8,0,2,0,2.0
1,0.0,54,1,0.38635858700000003,4500.0,5,0,1,0,0.0
0,0.25232035199999997,47,2,0.022564981,3500.0,7,0,0,0,2.0
0,0.052306711,81,0,0.21720561300000002,9833.0,12,0,1,0,0.0
0,0.05654932,69,0,0.105042896,4778.0,20,0,1,0,0.0
1,0.0,57,0,0.405964489,5800.0,5,1,1,1,0.0
1,0.9999998999999999,42,0,0.016558675,8333.0,1,1,0,0,4.0
0,0.9999998999999999,44,0,0.191061003,14900.0,5,1,1,0,2.0
0,0.004628439,40,0,0.132707775,4475.0,6,0,1,0,2.0
0,0.025430726,42,0,0.004999375,8000.0,8,0,0,0,0.0
0,0.18024043899999997,55,0,0.186574328,14583.0,6,0,2,0,0.0
1,0.945750303,56,9,0.6697303000000001,6636.0,23,5,1,2,0.0
1,0.9999998999999999,29,0,0.8692781690000001,2271.0,4,1,1,1,1.0
0,0.7466631309999999,67,0,0.982437179,3700.0,16,0,2,0,0.0
0,0.9630073990000001,57,0,0.42243173700000003,8166.0,8,0,2,0,0.0
0,0.770191507,24,0,0.141868512,2600.0,3,0,0,0,0.0
0,0.5864565420000001,63,0,0.10871130300000001,4166.0,4,0,0,0,0.0
1,0.676928671,41,1,0.449091818,6000.0,11,0,2,0,1.0
1,0.9999998999999999,33,0,0.0014544129999999999,11000.0,0,0,0,1,0.0
1,8.599600266,26,2,0.41890495899999997,1935.0,2,0,0,0,2.0
0,1.001732587,37,0,0.27659763600000004,11250.0,9,0,1,0,2.0
1,0.803526787,58,4,0.362299662,6800.0,20,1,0,0,0.0
0,0.038137409,43,0,0.365331364,10833.0,8,0,1,0,2.0
0,0.35863448200000003,31,0,0.082335329,4007.0,6,0,0,0,2.0
1,0.84144819,50,0,0.056907782000000004,2916.0,5,1,0,0,0.0
0,0.035320949,76,0,0.386579734,7361.0,12,0,2,0,1.0
0,1.016079965,29,0,0.046790642,1666.0,3,0,0,0,0.0
1,0.7988966470000001,54,3,0.586834419,4450.0,12,0,2,0,0.0
0,0.015358771,44,0,0.268224574,6803.0,5,0,1,0,2.0
0,0.005805701999999999,81,0,0.91027027,1849.0,4,0,1,0,0.0
0,0.406596687,41,0,0.27186654600000004,4435.0,7,0,1,0,0.0
1,0.21794282899999998,55,1,0.30995157,6400.0,14,0,2,0,1.0
1,0.024650922000000002,41,1,0.109159585,5294.0,5,3,0,2,4.0
1,1.0704287940000001,32,2,0.717183425,3450.0,14,1,1,4,1.0
1,0.086589617,43,0,0.47110374200000005,4221.0,7,0,2,0,3.0
0,0.0,23,0,0.037924152,500.0,1,0,0,0,0.0
1,0.9556715920000001,38,0,0.312089972,3200.0,9,0,0,0,0.0
0,0.985068576,36,2,1.6866537719999999,1550.0,8,0,2,1,2.0
0,0.575812943,73,0,0.505206164,2400.0,16,0,1,0,0.0
1,0.069682744,47,0,0.414296134,5483.0,13,3,2,0,2.0
0,0.011335052,29,0,0.17600592399999998,4050.0,13,0,0,0,1.0
0,0.514497929,30,0,0.068629019,6250.0,3,0,0,0,0.0
0,0.172088028,34,0,0.37026297399999997,10000.0,9,0,2,0,3.0
1,0.9999998999999999,42,0,0.019303688,2900.0,2,2,0,0,0.0
0,0.195123508,39,0,0.802845528,3935.0,8,0,3,0,0.0
1,0.233234219,65,0,0.493948005,9500.0,10,0,3,0,0.0
0,0.9999998999999999,31,0,0.0,3200.0,0,0,0,0,2.0
1,0.886113886,49,2,1.636486486,1479.0,5,1,1,2,1.0
1,0.9960039959999999,41,3,0.41170871,2100.0,5,1,0,0,3.0
1,0.042164324,36,2,0.394921016,5000.0,10,0,1,1,2.0
0,0.078650821,59,0,0.138572906,2900.0,6,0,0,0,1.0
0,0.9999998999999999,33,0,0.109933164,4338.0,0,0,0,0,1.0
0,0.5315250579999999,65,1,0.296494404,12151.0,20,0,5,0,1.0
1,0.24125112199999998,26,0,0.13462179300000002,3000.0,5,0,0,0,2.0
1,0.9999998999999999,30,0,0.16250367300000002,3402.0,1,0,0,2,4.0
1,0.913071475,49,1,0.704683196,3629.0,12,2,1,3,3.0
0,0.0,77,1,0.596537629,4158.0,3,0,1,0,2.0
1,1.053324869,36,2,0.186700767,5864.0,5,2,1,2,2.0
1,0.08665926,54,0,0.20027688,2166.0,5,0,0,0,0.0
1,0.820907955,49,1,0.5842044129999999,1721.0,5,0,0,0,0.0
0,0.819588069,73,0,0.755731555,2398.0,9,0,1,0,0.0
1,0.684470008,27,2,0.166733147,2506.0,6,0,0,0,0.0
1,0.173423014,29,0,1.159905938,1700.0,16,0,0,0,0.0
1,0.637436156,34,0,893.0,1.0,11,0,2,0,2.0
1,0.004701008,66,0,0.000499917,6000.0,3,0,0,1,0.0
1,0.775381378,28,0,0.07283987,3390.0,2,0,0,0,4.0
0,0.37946978,51,0,0.549780088,2500.0,19,0,0,0,0.0
0,0.009049548000000001,31,0,0.0019992,2500.0,2,0,0,0,0.0
1,0.6519375589999999,49,2,0.5696491229999999,11399.0,26,0,4,0,0.0
0,0.066412759,43,0,0.212446888,4000.0,5,0,1,0,2.0
1,0.401532612,53,0,0.439246866,20500.0,22,0,5,0,1.0
1,0.9999998999999999,33,0,0.7910696429999999,3000.0,7,0,2,0,1.0
0,0.9999998999999999,39,0,0.016431621,7728.0,1,0,0,0,2.0
1,0.798134577,28,1,0.5335068310000001,1536.0,3,0,0,1,0.0
0,0.048762596,69,0,0.224727273,1374.0,9,0,0,1,2.0
0,0.2137575,53,1,0.297837578,10404.0,9,0,2,0,1.0
1,1.014330945,51,2,0.377355803,21064.0,9,1,4,0,1.0
1,0.5175725179999999,53,1,0.304592315,3200.0,11,0,0,0,1.0
0,0.050226703,63,0,0.060367454,8000.0,9,0,0,0,2.0
1,0.977845053,44,0,1.058297347,3241.0,7,1,1,1,4.0
1,0.8952580459999999,45,1,0.265206813,6575.0,4,1,1,0,4.0
0,0.001580965,56,0,0.29776404300000003,5500.0,8,0,1,0,1.0
1,0.7112377190000001,40,2,0.57706049,8116.0,9,1,2,0,1.0
1,0.320545274,51,4,0.5301827579999999,5416.0,18,0,2,0,2.0
1,0.062742921,63,0,0.950269701,7600.0,7,0,3,0,2.0
0,0.595889939,50,1,0.7112299470000001,4300.0,12,0,1,0,0.0
1,0.9443847559999999,34,4,0.413171081,6984.0,6,1,1,1,2.0
0,0.461333434,38,0,1.205208801,2226.0,10,0,1,0,0.0
1,0.9999998999999999,31,1,0.294856601,4218.0,4,1,0,0,2.0
0,0.0,46,0,0.233076848,10266.0,9,0,2,0,1.0
0,0.429471634,54,0,0.596519135,10686.0,23,0,4,0,0.0
0,0.128724644,42,0,0.242027237,5800.0,9,0,1,0,2.0
0,0.89747908,45,0,0.327383178,10699.0,7,0,2,0,2.0
0,0.647923774,26,0,0.039934054,5458.0,3,0,0,0,1.0
0,0.043221076,56,0,0.277790355,8833.0,20,0,2,0,0.0
0,0.06734858099999999,40,1,0.44047398600000004,5400.0,7,0,2,0,2.0
1,0.270755895,48,0,0.322512077,5174.0,10,0,1,0,1.0
0,0.05581981,70,0,0.127680077,4150.0,14,0,0,0,0.0
0,0.8338870429999999,26,0,0.025019147000000002,3916.0,4,3,0,0,0.0
1,0.6095795039999999,57,0,0.528693077,2700.0,8,0,0,0,0.0
1,0.030975452999999997,67,0,45.0,0.0,8,0,0,0,0.0
1,0.9999998999999999,32,0,0.445299145,1169.0,1,0,0,1,0.0
0,0.019263998,69,1,0.318007663,4436.0,14,0,1,0,0.0
0,0.0,41,1,0.229457893,2932.0,11,0,0,0,2.0
1,0.6105599,45,1,0.289816815,12500.0,10,0,1,0,4.0
0,0.9999998999999999,25,1,0.0,1400.0,1,0,0,1,0.0
0,0.023324141,60,0,0.250249917,3000.0,11,0,0,0,0.0
0,0.43160666,80,0,0.163415324,3536.0,3,0,0,0,0.0
1,0.967527061,54,0,0.138229634,3117.0,3,1,0,0,1.0
0,0.034559039,80,0,0.016281063000000002,3500.0,8,0,0,0,0.0
0,0.033865185,56,0,0.392702536,4850.0,16,0,1,0,3.0
1,0.9999998999999999,23,0,0.007495315,1600.0,0,1,0,0,0.0
0,0.197076058,61,0,0.255477558,4700.0,7,0,1,0,0.0
1,0.39716902600000004,26,1,0.110269961,7000.0,4,2,0,1,3.0
0,0.9999998999999999,26,0,0.006996502,2000.0,1,0,0,0,0.0
1,0.058503506,34,0,0.533938172,2975.0,13,0,1,0,2.0
1,0.009087605,54,0,1.0615056440000001,11250.0,12,0,4,0,0.0
0,0.9999998999999999,31,0,0.0,2300.0,0,4,0,0,0.0
1,0.404266168,42,4,0.384882016,7500.0,19,0,1,2,1.0
1,0.22298569699999998,62,0,0.38744383299999996,15800.0,17,0,1,1,0.0
0,0.0,53,0,0.196554234,4120.0,2,0,1,0,3.0
1,0.601902646,73,0,1.6763358780000002,1309.0,3,1,1,1,0.0
1,0.9999998999999999,49,1,0.278026035,5146.0,3,5,2,1,4.0
0,0.005483811999999999,40,0,0.590191539,4750.0,7,0,2,0,2.0
1,0.9999998999999999,59,3,0.27962006300000003,6000.0,2,1,2,1,0.0
0,0.867673549,49,0,0.653338094,2800.0,7,0,1,0,4.0
1,0.842768478,73,2,0.666940654,6082.0,19,2,6,1,0.0
1,0.988001263,37,1,0.468790173,7000.0,11,0,1,1,2.0
0,0.025646397,39,1,0.150789683,34000.0,15,0,2,0,4.0
1,0.417072745,58,0,0.758589347,5500.0,17,4,1,2,1.0
1,0.9999998999999999,49,1,0.175075564,4300.0,2,1,0,0,3.0
0,0.069833884,56,0,0.25609756100000003,5083.0,9,0,1,0,3.0
0,0.208478871,51,0,0.12564572599999999,6000.0,6,0,0,0,3.0
0,0.041857543,72,0,0.239586804,3000.0,8,0,1,0,0.0
0,0.22284442899999998,75,0,0.030552161,9000.0,4,0,0,0,0.0
0,0.363963604,42,0,0.20769317,8916.0,4,0,1,0,0.0
1,0.7547285509999999,49,3,0.651442854,4400.0,14,0,1,1,2.0
1,0.566168052,41,0,0.741769673,8170.0,10,0,2,0,0.0
0,0.9999998999999999,42,1,0.254372814,2000.0,4,1,0,0,1.0
1,0.96100325,49,2,0.773226042,4100.0,9,0,2,0,3.0
1,0.672866044,50,0,0.459448896,5116.0,15,0,2,0,1.0
1,0.557177122,42,0,0.48321131,7921.0,11,0,6,0,2.0
0,0.9999998999999999,55,0,0.0,4000.0,1,0,0,0,1.0
0,0.10272353,57,0,0.13747974599999999,8022.0,5,0,1,0,1.0
1,0.344823292,36,0,0.500499833,3000.0,17,0,1,0,0.0
1,0.025192896,39,0,0.617676465,5000.0,8,0,2,0,2.0
1,1.03379662,60,1,2.646128226,1200.0,5,1,3,2,2.0
1,0.36977058,48,0,0.190155739,5200.0,9,0,0,0,2.0
1,0.257247584,43,0,0.62625792,10731.0,7,0,4,0,4.0
0,0.013777165,81,0,0.001999556,4500.0,4,0,0,0,0.0
1,0.380287814,60,0,0.54796477,4200.0,9,0,2,0,0.0
0,0.011195624,38,0,0.08897775599999999,4000.0,3,0,0,0,0.0
0,0.055630905,44,0,0.09912909800000001,3903.0,4,0,0,0,3.0
1,0.0,35,2,0.628092977,4000.0,6,0,1,0,2.0
1,0.018940492,89,1,0.593009119,3289.0,13,1,1,2,0.0
1,0.6296170329999999,46,5,0.408518296,5000.0,13,1,2,0,0.0
1,0.10046561,51,1,0.445230819,6216.0,12,0,2,0,1.0
0,0.17924429,36,0,0.37350010200000006,9833.0,8,0,2,0,2.0
1,0.9999998999999999,47,2,0.653738505,2500.0,2,1,1,1,0.0
0,0.033817157,66,0,0.12993854300000002,3416.0,7,0,0,0,0.0
1,1.390303453,39,2,0.345786747,3666.0,15,1,0,0,0.0
1,0.9999998999999999,45,2,0.380927566,1918.0,6,0,2,0,2.0
1,0.63721505,42,0,0.315337423,4889.0,6,0,0,0,0.0
0,0.7019689809999999,42,1,0.367894809,7300.0,9,0,0,0,2.0
0,0.0,47,0,0.459846332,9500.0,12,0,2,0,2.0
0,0.144638551,48,0,0.40200563,5683.0,5,0,1,0,1.0
1,0.9999998999999999,42,0,0.00931677,7083.0,2,1,0,0,0.0
0,0.125974805,38,0,0.006426276,2800.0,1,0,0,0,0.0
0,0.554605182,45,0,0.573022959,3135.0,10,0,1,0,2.0
1,0.7418571909999999,51,4,0.45396937200000004,5680.0,14,0,1,1,0.0
1,0.9731646340000001,61,1,0.78550149,6041.0,12,0,1,0,0.0
0,0.204478806,36,0,0.307596167,7200.0,9,0,1,0,2.0
0,0.743705451,50,0,0.14557281800000002,15833.0,7,0,2,0,2.0
0,0.584205148,49,1,0.476327806,4160.0,11,0,1,0,0.0
1,0.911043458,35,3,0.34237015200000004,7450.0,7,0,1,0,2.0
0,0.107331544,65,0,0.038392322,5000.0,2,0,0,0,0.0
0,0.053067135999999994,39,1,0.795585839,6750.0,7,0,2,0,2.0
0,0.002072256,58,0,0.210742857,8749.0,12,0,2,0,0.0
